COLLEGE_COMPETITOR_ID,COLLEGE_UUID,COLLEGE_NAME,COMPETITOR_UUID,COMPETITOR_NAME,COMPETITOR_SET_NAME,COMPETITOR_SET_DESCRIPTION,COMPETITOR_SET_PRIORITY
21,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,d33fe5ed-526e-42c7-9f5f-9c58eed4a024,Whitman College,West Coast Liberal Arts,Identify student from outside the west coast looking for west coast libearl arts colleges indicating a willingness to travel,1
22,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,d89702e5-2618-48c0-ba58-a67a9f0411c8,Grinnell College,Elite West Coast/Mid West,Broader reach based on west/mid-west elite college,3
23,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,d8e776e3-b586-4ca3-9b96-3be5437a570d,Colby College,East Coast Liberal Arts,Identify student from outside the east coast looking at east coast liberal arts colleges indicating a willingness to travel,2
24,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,dae7241a-4d00-4c50-b1a5-f33baf3a6c3b,Claremont McKenna College,West Coast Liberal Arts,Identify student from outside the west coast looking for west coast libearl arts colleges indicating a willingness to travel,1
25,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,dd4fcd82-8e4e-4f4c-a7dc-fadcebb49681,Barnard College,East Coast Liberal Arts,Identify student from outside the east coast looking at east coast liberal arts colleges indicating a willingness to travel,2
26,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,e3c7da9f-a6d3-4951-bfbb-6049c2ac56e2,Stanford University,Elite West Coast/Mid West,Broader reach based on west/mid-west elite college,3
27,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,e3c7da9f-a6d3-4951-bfbb-6049c2ac56e2,University of Chicago,Elite West Coast/Mid West,Broader reach based on west/mid-west elite college,3
28,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,e73c0c6b-7b57-4725-ab1b-8f57eaf16faa,University of Southern California,Elite West Coast/Mid West,Broader reach based on west/mid-west elite college,3
29,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,f3f43192-6c4b-4c7e-91fb-865163711c5c,Wellesley College,East Coast Liberal Arts,Identify student from outside the east coast looking at east coast liberal arts colleges indicating a willingness to travel,2
30,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,f5464544-1058-40ec-a8be-41422b38bd6c,University of Washington,Elite West Coast/Mid West,Broader reach based on west/mid-west elite college,3
31,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,64d8b1e0-b8cb-4358-8880-643050a09d66,Western Washington University,West Coast Publics,West coast publics with a high similarity score based on Niche's model. ,4
32,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,6fc3bda8-3fc1-432a-bb6d-7aeb8e83610a,Cal Poly San Luis Obispo,West Coast Publics,West coast publics with a high similarity score based on Niche's model. ,4
33,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,bdfbfaf3-f957-4b03-8c05-b600a3938e27,Portland State University,West Coast Publics,West coast publics with a high similarity score based on Niche's model. ,4
34,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,02b90d8e-3ae7-4e90-8010-bccedd518371,University of California - Santa Cruz,West Coast Publics,West coast publics with a high similarity score based on Niche's model. ,4
35,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,a318fffc-8494-4337-a750-37c464292a01,University of Oregon,West Coast Publics,West coast publics with a high similarity score based on Niche's model. ,4
36,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,ada7d3b1-b9c5-41cd-ad95-bddb87711e19,Oregon State University,West Coast Publics,West coast publics with a high similarity score based on Niche's model. ,4
37,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,c323725c-f4bb-49c3-90d4-e35b25c46a29,University of California - Davis,West Coast Publics,West coast publics with a high similarity score based on Niche's model. ,4
38,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,f56abd54-4c72-4706-aa60-b7b2db1435b1,University of California - Santa Barbara,West Coast Publics,West coast publics with a high similarity score based on Niche's model. ,4
39,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,7d19ae37-bb2c-4ad8-989f-5fd1cd0c45ce,Washington State University,West Coast Publics,West coast publics with a high similarity score based on Niche's model. ,4
40,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,dbd44661-bd7c-4bda-99aa-d85184537739,University of Utah,West Coast Publics,West coast publics with a high similarity score based on Niche's model. ,4
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,91451c36-ddf8-4179-9ef1-2398f341386e,American University,DMV,Target list of competitor schools for recruitment in the DMV market. ,1
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,e3dffeaa-58fa-41d3-bf56-fe2ea314642c,George Washington University,DMV,Target list of competitor schools for recruitment in the DMV market. ,1
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,eeb0e829-996a-45b1-9671-3ef4af096423,Virginia Tech,DMV,Target list of competitor schools for recruitment in the DMV market. ,1
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,9ea86cb5-e8a6-47e6-a219-fdcabc31ae51,University of Virginia,DMV,Target list of competitor schools for recruitment in the DMV market. ,1
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,9ec8d52e-4aec-4d22-8932-cd330813dcd5,Washington and Lee University,DMV,Target list of competitor schools for recruitment in the DMV market. ,1
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,bc6f707c-da0e-4db1-b06f-ebfe9473423b,Johns Hopkins University,DMV,Target list of competitor schools for recruitment in the DMV market. ,1
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,2693c41f-c465-4b35-9f72-cf0c84c54d7b,Rensselaer Polytechnic Institute,DMV,Target list of competitor schools for recruitment in the DMV market. ,1
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,16e73fef-82a8-4fe4-ae06-3f1392e31d63,"Binghamton University, SUNY",DMV,Target list of competitor schools for recruitment in the DMV market. ,1
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,0de4b9ec-961d-4915-8869-7496b5688f15,Rochester Institute of Technology,DMV,Target list of competitor schools for recruitment in the DMV market. ,1
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,1cdf907c-1b8c-4174-9277-c67d6a59d677,Syracuse University,DMV,Target list of competitor schools for recruitment in the DMV market. ,1
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,a1237f7c-3941-41ce-ba42-687c276b73b4,Lehigh University,"PA, NJ, OH","Target list of competitor schools for recruitment in the PA, NJ, and OH markets",2
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,d8a17c0f-cc25-4d2a-b231-0303ea016427,Carnegie Mellon University,"PA, NJ, OH","Target list of competitor schools for recruitment in the PA, NJ, and OH markets",2
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,2903a6b2-8158-4848-8d1a-81ebdbba393c,Penn State,"PA, NJ, OH","Target list of competitor schools for recruitment in the PA, NJ, and OH markets",2
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,7c5933a0-8dd6-4313-89cf-c9a3f41b7d3b,Case Western Reserve University,"PA, NJ, OH","Target list of competitor schools for recruitment in the PA, NJ, and OH markets",2
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,94e9c220-e7d8-464d-a9fa-505420b03862,Stevens Institute of Technology,"PA, NJ, OH","Target list of competitor schools for recruitment in the PA, NJ, and OH markets",2
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,2b3e0dea-5255-4fa4-af03-4a14bb5889f0,New Jersey Institute of Technology,"PA, NJ, OH","Target list of competitor schools for recruitment in the PA, NJ, and OH markets",2
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,2693c41f-c465-4b35-9f72-cf0c84c54d7b,Rensselaer Polytechnic Institute,"PA, NJ, OH","Target list of competitor schools for recruitment in the PA, NJ, and OH markets",2
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,16e73fef-82a8-4fe4-ae06-3f1392e31d63,"Binghamton University, SUNY","PA, NJ, OH","Target list of competitor schools for recruitment in the PA, NJ, and OH markets",2
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,0de4b9ec-961d-4915-8869-7496b5688f15,Rochester Institute of Technology,"PA, NJ, OH","Target list of competitor schools for recruitment in the PA, NJ, and OH markets",2
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,1cdf907c-1b8c-4174-9277-c67d6a59d677,Syracuse University,"PA, NJ, OH","Target list of competitor schools for recruitment in the PA, NJ, and OH markets",2
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,20a0947f-4d4c-4c36-8e94-bf0a2ba50e4f,University of Chicago,Illinois,Target list of competitor schools for recruitment in Illinois,3
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,b20b9772-c557-417c-8d31-ea9b18f43691,Rose-Hulman Institute of Technology,Illinois,Target list of competitor schools for recruitment in Illinois,3
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,0ad52ae5-18ba-46b2-a623-33a0eb5c108f,Purdue University,Illinois,Target list of competitor schools for recruitment in Illinois,3
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,762669d6-eb9c-4ed9-bce4-a2f1c24b723a,Michigan Technological University,Illinois,Target list of competitor schools for recruitment in Illinois,3
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,de47f4f1-92dd-4632-8a9f-986370be041a,University of Michigan - Ann Arbor,Illinois,Target list of competitor schools for recruitment in Illinois,3
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,2693c41f-c465-4b35-9f72-cf0c84c54d7b,Rensselaer Polytechnic Institute,Illinois,Target list of competitor schools for recruitment in Illinois,3
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,16e73fef-82a8-4fe4-ae06-3f1392e31d63,"Binghamton University, SUNY",Illinois,Target list of competitor schools for recruitment in Illinois,3
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,0de4b9ec-961d-4915-8869-7496b5688f15,Rochester Institute of Technology,Illinois,Target list of competitor schools for recruitment in Illinois,3
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,1cdf907c-1b8c-4174-9277-c67d6a59d677,Syracuse University,Illinois,Target list of competitor schools for recruitment in Illinois,3
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,ecbc8d55-b1c6-4b90-8c3a-322cf655b115,Worcester Polytechnic Institute,Illinois,Target list of competitor schools for recruitment in Illinois,3
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,c3ea35a9-85d8-473b-a511-4f7d71c3b78e,North Carolina State University,North Carolina,Target list of competitor schools for recruitment in North Carolina,4
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,2c2398bc-a663-4ce4-93b9-37878535cce1,Wake Forest University,North Carolina,Target list of competitor schools for recruitment in North Carolina,4
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,5712b0c1-3a40-4ea1-a324-9c4f76fefd10,University of North Carolina at Chapel Hill,North Carolina,Target list of competitor schools for recruitment in North Carolina,4
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,5d8311b5-d631-42be-ab3c-2a5b3a446745,Georgia Institute of Technology,North Carolina,Target list of competitor schools for recruitment in North Carolina,4
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,eeb0e829-996a-45b1-9671-3ef4af096423,Virginia Tech,North Carolina,Target list of competitor schools for recruitment in North Carolina,4
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,2903a6b2-8158-4848-8d1a-81ebdbba393c,Penn State,North Carolina,Target list of competitor schools for recruitment in North Carolina,4
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,ecbc8d55-b1c6-4b90-8c3a-322cf655b115,Worcester Polytechnic Institute,North Carolina,Target list of competitor schools for recruitment in North Carolina,4
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,2693c41f-c465-4b35-9f72-cf0c84c54d7b,Rensselaer Polytechnic Institute,North Carolina,Target list of competitor schools for recruitment in North Carolina,4
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,0de4b9ec-961d-4915-8869-7496b5688f15,Rochester Institute of Technology,North Carolina,Target list of competitor schools for recruitment in North Carolina,4
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,2b3e0dea-5255-4fa4-af03-4a14bb5889f0,New Jersey Institute of Technology,North Carolina,Target list of competitor schools for recruitment in North Carolina,4
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,5661693d-f152-4d12-b65f-f318532a03d5,University of St. Thomas - Minnesota,Minnesota,Target list of competitor schools for recruitment in Minnesota,5
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,9d87a681-a420-4920-a729-3cfaa05b02b9,St. Olaf College,Minnesota,Target list of competitor schools for recruitment in Minnesota,5
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,bbb471e1-f21d-4278-83a4-c97222ee902d,Macalester College,Minnesota,Target list of competitor schools for recruitment in Minnesota,5
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,de47f4f1-92dd-4632-8a9f-986370be041a,University of Michigan - Ann Arbor,Minnesota,Target list of competitor schools for recruitment in Minnesota,5
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,2693c41f-c465-4b35-9f72-cf0c84c54d7b,Rensselaer Polytechnic Institute,Minnesota,Target list of competitor schools for recruitment in Minnesota,5
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,0ad52ae5-18ba-46b2-a623-33a0eb5c108f,Purdue University,Minnesota,Target list of competitor schools for recruitment in Minnesota,5
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,0de4b9ec-961d-4915-8869-7496b5688f15,Rochester Institute of Technology,Minnesota,Target list of competitor schools for recruitment in Minnesota,5
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,1cdf907c-1b8c-4174-9277-c67d6a59d677,Syracuse University,Minnesota,Target list of competitor schools for recruitment in Minnesota,5
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,ecbc8d55-b1c6-4b90-8c3a-322cf655b115,Worcester Polytechnic Institute,Minnesota,Target list of competitor schools for recruitment in Minnesota,5
,10c0e73c-32cf-4949-8ab0-03511195faa5,Clarkson University,7c5933a0-8dd6-4313-89cf-c9a3f41b7d3b,Case Western Reserve University,Minnesota,Target list of competitor schools for recruitment in Minnesota,5
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,6d71d96c-77f0-4fc6-846f-8f4835ca6420,Kenyon College,Elite Midwest Liberal Arts,"Aspirational set of of nationally recruiting, liberal arts colleges",1
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,d89702e5-2618-48c0-ba58-a67a9f0411c8,Grinnell College,Elite Midwest Liberal Arts,"Aspirational set of of nationally recruiting, liberal arts colleges",1
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,bbb471e1-f21d-4278-83a4-c97222ee902d,Macalester College,Elite Midwest Liberal Arts,"Aspirational set of of nationally recruiting, liberal arts colleges",1
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,2585ec6d-0fea-499c-b7e1-a4b445853139,Denison University,Elite Midwest Liberal Arts,"Aspirational set of of nationally recruiting, liberal arts colleges",1
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,66d370e2-6bbb-4e64-bff6-d719a0ddb2cb,Carleton College,Elite Midwest Liberal Arts,"Aspirational set of of nationally recruiting, liberal arts colleges",1
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,7e5b204e-da28-40c9-b69c-6dde84b11630,Oberlin College,Elite Midwest Liberal Arts,"Aspirational set of of nationally recruiting, liberal arts colleges",1
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,f3315e60-decf-4d24-9051-86c3a287a693,Trinity University,Elite Midwest Liberal Arts,"Aspirational set of of nationally recruiting, liberal arts colleges",1
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,af7eab45-d4b3-47ec-bd76-17bed4baf006,Skidmore College,Elite Midwest Liberal Arts,"Aspirational set of of nationally recruiting, liberal arts colleges",1
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,17bc125d-a7ab-4df1-a556-e0e15ba2fdd1,Allegheny College,Comparable Colleges,"Comparables colleges, outside of the midwest",2
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,34f6e10e-2f5f-4da1-bca9-5c66cb8f81a7,Knox College,Comparable Colleges,"Comparables colleges, outside of the midwest",2
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,4750c16e-b7ef-40ad-8c54-ed7b6e6bcb4e,Juniata College,Comparable Colleges,"Comparables colleges, outside of the midwest",2
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,b83fbbd8-eb1c-471d-9c62-0b6e445e74aa,Lawrence University,Comparable Colleges,"Comparables colleges, outside of the midwest",2
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,04c2f950-cb5f-4785-a8fc-dad897becd6d,Beloit College,Comparable Colleges,"Comparables colleges, outside of the midwest",2
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,53a1a524-ef97-4f51-a310-1af4a50f05b0,Rhodes College,Comparable Colleges,"Comparables colleges, outside of the midwest",2
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,9d87a681-a420-4920-a729-3cfaa05b02b9,St. Olaf College,Comparable Colleges,"Comparables colleges, outside of the midwest",2
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,63e76011-4469-456a-ad84-ab370526df66,Lake Forest College,Indiana / Midwest Comparable Colleges,"Comparable colleges, Indiana and Midwest Focused",3
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,c5aa5e04-2d3a-45bd-8e83-4df976f79700,Hope College,Indiana / Midwest Comparable Colleges,"Comparable colleges, Indiana and Midwest Focused",3
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,6e001eef-6195-431a-b281-c944206bc540,DePauw University,Indiana / Midwest Comparable Colleges,"Comparable colleges, Indiana and Midwest Focused",3
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,f36f062d-49d8-491e-a8c1-a148d092ff5b,Kalamazoo College,Indiana / Midwest Comparable Colleges,"Comparable colleges, Indiana and Midwest Focused",3
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,e08e643d-b10a-4d71-9ec6-666077482edb,Ohio Wesleyan University,Indiana / Midwest Comparable Colleges,"Comparable colleges, Indiana and Midwest Focused",3
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,319b5387-5c04-4800-8c43-235676099e04,College of Wooster,Indiana / Midwest Comparable Colleges,"Comparable colleges, Indiana and Midwest Focused",3
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,256bfe72-bef3-4a32-accd-91c9306baad9,Centre College,Indiana / Midwest Comparable Colleges,"Comparable colleges, Indiana and Midwest Focused",3
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,b4e1e7f4-34dd-4731-a21a-2c470bee2121,Bard College,Cultural Comparables,Colleges with similar cultures,4
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,270c8040-37a5-4c46-9aa1-4afe8b36380f,Bennington College,Cultural Comparables,Colleges with similar cultures,4
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,7e5b204e-da28-40c9-b69c-6dde84b11630,Oberlin College,Cultural Comparables,Colleges with similar cultures,4
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,03b176b4-a7d7-4aff-8138-00f50a33f0be,Sarah Lawrence College,Cultural Comparables,Colleges with similar cultures,4
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,d8a18ac9-0e33-430c-bc78-4e69c5681ff4,Reed College,Cultural Comparables,Colleges with similar cultures,4
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,7c8c85f9-9964-4524-b936-a3fb036190b7,Antioch College,Cultural Comparables,Colleges with similar cultures,4
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,4f2691e0-f121-4f58-bfa5-665510ed83d0,Hampshire College,Cultural Comparables,Colleges with similar cultures,4
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,6504f1ee-d47c-44e5-a611-cf344b3effb9,Lewis & Clark College,Cultural Comparables,Colleges with similar cultures,4
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,0d7e89d6-ca95-4ad4-bf25-7b1b7760474c,The Evergreen State College,Cultural Comparables,Colleges with similar cultures,4
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,a5f77381-d187-4a5a-be55-fc272e5c30e5,Wabash College,Indiana Privates,Private colleges in Indiana,5
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,2b15541d-7892-425e-8687-13ae02e2f925,Franklin College,Indiana Privates,Private colleges in Indiana,5
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,487d0cbe-56bc-41c6-ab33-ad89c36cb918,Manchester University,Indiana Privates,Private colleges in Indiana,5
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,6e001eef-6195-431a-b281-c944206bc540,DePauw University,Indiana Privates,Private colleges in Indiana,5
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,16779aec-9bde-4fe8-8f4a-5eb5502ed639,Hanover College,Indiana Privates,Private colleges in Indiana,5
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,b30e64cd-f2a2-45ea-9dd2-f0de7fcc1c6f,Anderson University - Indiana,Indiana Privates,Private colleges in Indiana,5
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,23dfdc50-c6a3-42a5-b318-71186d894781,Taylor University,Indiana Privates,Private colleges in Indiana,5
,e069d749-b40b-4033-be88-649856af92c1,Earlham College,450e54ff-bab1-4a3f-a06f-5dd161ad0d0a,Goshen College,Indiana Privates,Private colleges in Indiana,5
,c1a32b1d-394d-42ff-9ca0-bc1d55195d24,Capitol Technology University,65ed31e0-db36-4ec4-bb1a-73e0a38a885f,University of Maryland - Global Campus,Computer Science,Colleges in overlap markets offering computer science,1
,c1a32b1d-394d-42ff-9ca0-bc1d55195d24,Capitol Technology University,a78118a3-87bb-4861-9b2e-06f244c53bbc,Loyola University Maryland,Computer Science,Colleges in overlap markets offering computer science,1
,c1a32b1d-394d-42ff-9ca0-bc1d55195d24,Capitol Technology University,acfbad09-d55d-4101-afcf-500ce0450c89,United States Naval Academy,Computer Science,Colleges in overlap markets offering computer science,1
,c1a32b1d-394d-42ff-9ca0-bc1d55195d24,Capitol Technology University,1efd3b32-c1ea-4216-b5f3-6b68b55c6728,Morgan State University,Computer Science,Colleges in overlap markets offering computer science,1
